plant_type,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,plant_age_weeks,last_watered_days,temperature,humidity,rainfall,season,watering_status,plant_name_Aloe Vera,plant_name_Basil,plant_name_Cactus,plant_name_Mint,plant_name_Money Plant,plant_name_Peace Lily,plant_name_Rose,plant_name_Snake Plant,plant_name_Spider Plant,plant_name_Tomato,soil_type_Clayey,soil_type_Loamy,soil_type_Sandy,sunlight_exposure_Full Sun,sunlight_exposure_Indirect Light,sunlight_exposure_Low Light,sunlight_exposure_Partial Sun,pot_or_ground_Ground,pot_or_ground_Pot
Outdoor,1.7471182756168893,-0.5827480494121632,-1.020772659770899,1.869856892716275,56,3,0.389681378896086,0.8659022968088689,0.7838193945434718,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Indoor,0.6323514703102125,1.3819725912295802,-0.5552332892460136,1.4319171098956938,28,4,0.49502507443453503,-0.7606792945538203,-1.067389306411689,Summer,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Outdoor,1.3290807236268858,-1.416265896957145,-1.4087221352083037,-1.3417015146346543,3,7,-0.9496884643784813,-0.08761104985201794,-1.349478251319142,Summer,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,0.4930056196468773,0.9652136674570891,-0.16728381380860888,0.6290275080579616,20,6,-0.558411880949956,-0.5924122333783698,1.383258402471809,Autumn,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Indoor,0.2143139183202091,0.9652136674570891,-0.2448737088960898,-0.5388119127969218,72,2,0.8411543597751536,-1.7141926412147073,-0.5737336528236461,Monsoon,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,0.2143139183202091,-0.9995069731846542,-0.7104130794209754,1.2859371822888335,52,1,1.4581674336432127,-0.42414517220291914,1.7006084654926938,Monsoon,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Outdoor,1.1897348729635504,-0.9399699840742983,-0.7880029745084564,1.504907073699124,56,0,-0.031693403257710445,1.3707034803352207,-0.4150586213132037,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Indoor,-0.4824153349964639,0.2507697981328189,1.306924192853529,0.5560375442545314,79,0,-1.506505140795998,-0.7045902741620035,-1.155542101695268,Spring,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Indoor,-0.4824153349964639,0.9652136674570891,0.37584545180375767,0.9209873632716824,54,0,0.8863016578630599,0.6976352356334182,0.8014499536001876,Monsoon,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,-0.6217611856597993,0.5484547436845981,0.9965646125036051,0.33706765284424073,73,1,-0.1972334962467021,-1.4898365596474399,0.13148870944498647,Monsoon,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Outdoor,0.3536597689835432,0.6675287219053099,0.7637949272411623,1.4319171098956938,56,0,0.705712465511433,0.36110111328251704,0.7132971583166084,Spring,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Outdoor,-0.4824153349964639,-0.9399699840742983,-0.2448737088960898,0.4100576166476709,59,4,-0.483166384136778,0.6415462152416014,1.4185195205852406,Autumn,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Indoor,1.3290807236268858,1.5605835585606478,0.06548587145383393,0.9209873632716824,42,1,-1.1152285573674725,0.5293681744579677,-0.009555763008739856,Summer,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Outdoor,-0.2037236336697957,-1.3567289078467895,-0.6328231843334945,-1.3417015146346543,6,4,0.2993867827202723,0.13674503171524952,1.0130166622807772,Winter,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,0.3536597689835432,1.1438246347881567,0.06548587145383393,0.6290275080579616,23,1,-0.21228259560933738,-0.08761104985201794,0.8543416307703348,Monsoon,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
Outdoor,-1.0397987376498028,-1.6544138533985686,-1.4087221352083037,-1.5606714060449447,77,3,1.6688548247201107,-0.08761104985201794,-1.6139366371698793,Summer,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-0.6217611856597993,-1.1781179405157218,-2.1070311909956323,-1.4876814422415146,49,7,-0.377822688598329,-0.08761104985201794,0.14911926850170223,Winter,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,-0.4824153349964639,-1.5353398751778569,-0.8655928695959373,-1.268711550831224,65,7,-1.356014147169642,0.809813276417052,-1.543414400943016,Winter,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,0.4930056196468773,0.9652136674570891,-0.08969391872112793,0.2640776890408105,45,4,1.3979710361926696,0.1928340521070664,1.71823902454941,Winter,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
Indoor,-1.0397987376498028,0.9056766783467333,0.7637949272411623,0.6290275080579616,23,7,-1.2807686503564641,-0.42414517220291914,-0.2211224716893298,Summer,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,0.6323514703102125,-1.3567289078467895,-0.6328231843334945,-1.633661369848375,53,2,-0.8292956694773965,0.9780803375925026,-1.5963060781131633,Spring,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,1.6077724249535552,-0.7613590167432308,-0.8655928695959373,-1.1227316232243636,36,7,0.07365029228073854,-0.03152202946020107,0.74855827643004,Summer,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-1.1791445883131368,-1.5948768642882127,-2.1070311909956323,-1.7796412974552354,64,0,1.4130201355553054,-0.5363232129865529,-1.7373505505668898,Winter,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,1.3290807236268858,-0.7613590167432308,-0.9431827646834182,-1.4146914784380844,37,3,1.4732165330058475,1.3707034803352207,0.8896027488837666,Spring,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-0.06437778300646037,-0.8208960058535866,-1.5639019253832656,-1.7066513336518052,4,1,-1.2807686503564641,0.4171901336743339,0.46646933152258696,Summer,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,1.4684265742902198,-1.05904396229501,-0.5552332892460136,0.6290275080579616,77,2,0.013453894830196416,0.36110111328251704,1.3656278434150937,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Outdoor,-1.7365279909664757,-1.2971919187364336,-1.020772659770899,-1.1227316232243636,6,1,-1.6419470350597183,0.13674503171524952,-0.8381920386743833,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,-1.5971821403031417,0.9652136674570891,-0.16728381380860888,-0.24685205758320097,83,3,0.25423948463236545,0.6415462152416014,0.043335914161407404,Autumn,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Outdoor,-0.06437778300646037,1.1438246347881567,0.22066566162879578,0.4830475804511011,70,1,-0.9045411662905745,1.3146144599434038,1.71823902454941,Monsoon,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
Outdoor,0.4930056196468773,0.9056766783467333,1.3845140879410098,1.0669672908785428,92,2,-0.6788046758510408,0.36110111328251704,-0.2916447079161932,Winter,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,-1.3184904389764722,-0.3446000929707397,1.6948736682909336,0.4830475804511011,61,3,0.05860119291810274,-0.8167683149456373,1.2245833709613672,Summer,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,1.4684265742902198,-0.9995069731846542,-0.6328231843334945,-1.268711550831224,92,1,0.5853196706103482,0.3050120928907002,1.136430575677788,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indoor,-1.4578362896398063,-0.2850631038603838,0.14307576654131485,-0.611801876600352,46,4,1.503314731731119,-0.5363232129865529,0.3077943000121446,Autumn,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,-0.2037236336697957,-0.6422850385225191,0.14307576654131485,0.7020174718613919,58,6,1.578560228544297,-1.2093914576883555,-0.23875303074604556,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Indoor,0.07496806765687374,-0.46367407119145143,0.8413848223286432,1.0669672908785428,76,1,1.5183638310937548,-0.48023419259473604,0.6075138039763137,Summer,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Outdoor,-1.0397987376498028,-1.5948768642882127,-1.09836255485838,-1.3417015146346543,86,3,1.6237075266322034,-1.041124396512905,-0.9792365111281097,Spring,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,0.07496806765687374,-1.118580951405366,-1.020772659770899,-1.1227316232243636,68,6,-1.3409650478070063,-0.8728573353374541,1.0130166622807772,Winter,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,1.3290807236268858,-0.22552611475002798,-0.40005349907105164,1.869856892716275,67,4,0.05860119291810274,0.1928340521070664,0.1667498275584183,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Outdoor,0.2143139183202091,-0.9399699840742983,-1.8742615057331893,-1.4146914784380844,47,0,0.08869939164337434,-1.6581036208228905,1.7006084654926938,Summer,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,1.3290807236268858,-1.416265896957145,-1.5639019253832656,-1.8526312612586655,76,6,1.6086584272695685,-1.5459255800392566,0.6604054811464609,Summer,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,-1.3184904389764722,-0.3446000929707397,-0.16728381380860888,-0.24685205758320097,7,6,-0.2574298936972442,-0.8728573353374541,-0.39742806225648797,Summer,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Outdoor,-1.5971821403031417,-0.22552611475002798,0.7637949272411623,0.5560375442545314,76,0,-0.07684070134561731,-0.7045902741620035,1.29510560718823,Summer,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,-1.4578362896398063,-0.40413708208109556,0.8413848223286432,0.04510779763051987,71,1,0.04355209355546748,-0.08761104985201794,-0.8734531567878148,Winter,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Outdoor,0.2143139183202091,0.7866027001260216,1.4621039830284908,0.8479973994682523,36,3,-1.5516524388839048,0.4171901336743339,-0.20349191263261407,Summer,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Outdoor,-0.6217611856597993,-1.475802886067501,-1.4863120302957846,-1.5606714060449447,39,7,1.6839039240827465,0.3050120928907002,-0.5208419756534985,Autumn,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-0.3430694843331298,-0.40413708208109556,0.9965646125036051,1.2859371822888335,60,7,-1.0098848618290235,-0.1997890906356517,0.7309277173733243,Summer,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,0.2143139183202091,1.2033616238985125,0.4534353468912386,-0.3928319851900614,68,3,-0.5132645828620491,-1.2093914576883555,-0.04481688112217167,Winter,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,-1.7365279909664757,-0.8804329949639425,0.37584545180375767,1.3589271460922636,89,6,0.3595831801708144,0.024566990931615795,-0.8205614796176673,Winter,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Outdoor,0.9110431716368821,1.2628986130088684,1.6948736682909336,-0.17386209377977077,100,5,1.5334129304563906,-1.2654804780801723,1.0659083394509248,Winter,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Indoor,-0.7611070363231334,1.501046569450292,1.5396938781159717,0.19108772523738027,16,7,-1.1001794580048372,-1.377658518863806,-0.4150586213132037,Winter,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Outdoor,-0.6217611856597993,-1.2376549296260777,-0.8655928695959373,-1.268711550831224,45,7,0.3294849814455434,0.36110111328251704,1.7535001426628414,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-0.6217611856597993,-1.2376549296260777,-1.020772659770899,0.33706765284424073,27,0,-1.145326756092744,-1.4898365596474399,-0.9087142749012465,Spring,2,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Indoor,-0.6217611856597993,1.441509580339936,0.37584545180375767,-0.3928319851900614,63,7,-1.611848836334447,0.5854571948497845,1.5595639930389673,Monsoon,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Indoor,-1.0397987376498028,1.0842876456778008,0.4534353468912386,0.7020174718613919,2,7,0.705712465511433,-1.0972134169047216,-1.4728921647161526,Winter,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Indoor,-0.2037236336697957,0.19123280902246304,0.37584545180375767,0.2640776890408105,26,5,-0.483166384136778,0.4171901336743339,-1.4905227237728684,Summer,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Outdoor,1.4684265742902198,-0.16598912563967214,0.29825555671627674,1.0669672908785428,8,0,-1.6569961344223538,1.2585254395515868,0.21964150472856553,Autumn,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Outdoor,1.1897348729635504,-0.22552611475002798,0.06548587145383393,1.869856892716275,29,3,-0.9346393650158455,-0.928946355729271,-1.455261605659437,Monsoon,2,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
Outdoor,-0.06437778300646037,-0.7018220276328749,-0.08969391872112793,2.161816747929996,23,5,1.653805725357475,-1.6020146004310736,-0.06244744017888742,Monsoon,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Outdoor,1.3290807236268858,-0.6422850385225191,0.7637949272411623,0.9209873632716824,65,2,0.630466968698255,-0.08761104985201794,0.8190805126569033,Spring,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Outdoor,-0.3430694843331298,-1.8925618098399921,-0.6328231843334945,-1.7066513336518052,68,6,-1.250670451631193,-0.14370007024383483,1.0659083394509248,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indoor,-1.1791445883131368,0.3698437763535306,1.3845140879410098,-0.3198420213866312,37,3,1.2625291419289495,0.4732791540661508,-1.4376310466027211,Winter,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Outdoor,-1.5971821403031417,1.441509580339936,-0.2448737088960898,0.2640776890408105,23,7,-1.536603339521269,1.20243641915977,-1.3847393694325736,Winter,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
Indoor,-1.0397987376498028,-0.16598912563967214,-0.5552332892460136,0.9209873632716824,56,1,0.5251232731598061,1.651148582294305,0.5722526858628819,Autumn,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Indoor,1.3290807236268858,0.9652136674570891,0.5310252419787195,0.33706765284424073,5,2,0.7659088629619757,-0.3680561518111023,0.5722526858628819,Spring,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Indoor,-0.2037236336697957,0.6675287219053099,1.3845140879410098,-0.3928319851900614,22,4,-1.1152285573674725,-0.8167683149456373,1.4361500796419566,Monsoon,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Indoor,-0.2037236336697957,1.0247506565674451,0.9965646125036051,1.139957254681973,46,5,-0.06179160198298151,-1.377658518863806,-0.7147781252773725,Winter,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Indoor,-0.6217611856597993,1.1438246347881567,-0.4776433941585326,0.2640776890408105,44,1,-1.2356213522685573,-0.1997890906356517,1.29510560718823,Winter,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Indoor,0.4930056196468773,1.441509580339936,0.22066566162879578,-0.4658219489934916,71,2,1.2775782412915853,-0.42414517220291914,0.5193610086927346,Monsoon,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Indoor,-0.3430694843331298,0.607991732794954,-0.5552332892460136,1.139957254681973,18,6,-0.13703709879615944,-1.0972134169047216,1.7358695836061253,Summer,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Indoor,1.3290807236268858,-0.7018220276328749,0.14307576654131485,0.04510779763051987,88,0,-1.5967997369718114,-0.5363232129865529,0.43120821340915544,Monsoon,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Indoor,-1.0397987376498028,0.19123280902246304,-0.012104023633647007,-0.611801876600352,45,6,-1.4463087433454558,1.0341693579843194,-0.5208419756534985,Winter,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Outdoor,-0.06437778300646037,-1.118580951405366,-1.3311322401208228,-1.8526312612586655,98,1,0.9615471546762379,-0.3119671314192854,0.836711071713619,Spring,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,0.7716973209735467,-1.118580951405366,-1.175952449945861,-1.5606714060449447,16,2,0.05860119291810274,1.651148582294305,-1.3671088103758577,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,1.0503890223002164,-0.10645213652931627,1.306924192853529,0.19108772523738027,2,0,0.946498055313602,-1.2654804780801723,0.5017304496360185,Summer,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,1.3290807236268858,0.7866027001260216,0.37584545180375767,-0.24685205758320097,10,0,0.40473047825872127,-0.5363232129865529,1.4361500796419566,Spring,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Outdoor,-0.2037236336697957,0.5484547436845981,1.151744402678567,1.0669672908785428,42,4,-1.506505140795998,0.5854571948497845,-0.2563835898027614,Spring,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
Indoor,-1.3184904389764722,0.5484547436845981,1.306924192853529,-0.24685205758320097,28,1,0.4498777763466282,0.4732791540661508,-0.855822597731099,Monsoon,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Indoor,1.6077724249535552,0.2507697981328189,1.6172837732034526,0.8479973994682523,72,6,1.5484620298190255,-0.928946355729271,0.6251443630330294,Summer,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
Outdoor,1.3290807236268858,-1.2376549296260777,-0.8655928695959373,-1.5606714060449447,79,7,-0.0015952045324393836,0.4171901336743339,-1.420000487546005,Summer,1,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,-1.1791445883131368,-0.46367407119145143,1.5396938781159717,0.6290275080579616,30,1,0.13384668973128067,0.6976352356334182,-0.943975393014678,Autumn,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Indoor,1.3290807236268858,-0.2850631038603838,1.306924192853529,1.4319171098956938,86,5,-0.43801908604887113,-1.7141926412147073,1.7006084654926938,Monsoon,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Indoor,0.2143139183202091,1.3819725912295802,1.4621039830284908,-0.6847918404037822,36,0,1.5936093279069328,0.5293681744579677,1.048277780394209,Spring,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Outdoor,0.7716973209735467,0.13169581991210716,-0.6328231843334945,0.9209873632716824,44,2,0.2843376833576365,-0.48023419259473604,-0.5561030937669302,Monsoon,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Outdoor,-0.3430694843331298,1.0247506565674451,1.4621039830284908,0.9939773270751125,34,2,0.389681378896086,0.13674503171524952,0.6075138039763137,Autumn,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Outdoor,1.7471182756168893,-1.475802886067501,-2.184621086083113,-1.4876814422415146,83,5,-0.6637555764884049,0.5293681744579677,-0.36216694414305634,Autumn,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,1.1897348729635504,1.501046569450292,1.3845140879410098,-0.6847918404037822,45,0,1.0969890489399579,-1.0972134169047216,1.3656278434150937,Spring,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Outdoor,0.2143139183202091,-0.22552611475002798,0.4534353468912386,0.19108772523738027,3,6,0.17899398781918752,0.8659022968088689,-0.6795170071639409,Spring,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Indoor,1.1897348729635504,1.5605835585606478,0.8413848223286432,-0.4658219489934916,84,4,-1.506505140795998,0.3050120928907002,-0.8910837158445306,Autumn,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Outdoor,-1.5971821403031417,-1.475802886067501,-2.1070311909956323,-1.7796412974552354,96,0,1.0066944527641453,0.024566990931615795,0.29016374095542885,Autumn,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Outdoor,-1.5971821403031417,-1.7139508425089245,-1.9518514008206702,-1.5606714060449447,20,7,0.07365029228073854,-0.5924122333783698,0.2372720637852813,Monsoon,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,-0.4824153349964639,-0.40413708208109556,0.37584545180375767,-0.3928319851900614,55,5,1.232430943203679,-1.433747539255623,1.4890417568121042,Monsoon,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
Indoor,-0.2037236336697957,-0.04691514741896041,-0.012104023633647007,-0.5388119127969218,36,0,-1.0550321599169303,0.4732791540661508,-1.3318476922624263,Summer,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Outdoor,-0.9004528869864687,-1.3567289078467895,-1.5639019253832656,-1.268711550831224,101,1,0.5552214718850771,-0.14370007024383483,-0.09770855829231892,Spring,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indoor,0.07496806765687374,-0.5827480494121632,-0.6328231843334945,0.11809776143395008,85,6,-1.2807686503564641,1.651148582294305,0.5898832449195976,Summer,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Outdoor,-1.3184904389764722,-0.8208960058535866,-1.4087221352083037,-1.268711550831224,97,2,1.503314731731119,0.809813276417052,-0.2563835898027614,Autumn,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indoor,-0.06437778300646037,-0.5232110603018073,0.29825555671627674,1.2859371822888335,42,0,-0.9647375637411166,-0.7606792945538203,-0.2740141488594771,Summer,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
Outdoor,-0.3430694843331298,0.13169581991210716,-0.6328231843334945,0.9209873632716824,50,3,-0.3176262911477869,-0.1997890906356517,-0.5561030937669302,Summer,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
Indoor,-0.6217611856597993,0.607991732794954,1.6948736682909336,0.6290275080579616,33,7,-0.13703709879615944,1.4828815211188544,-0.9616059520713938,Summer,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
Indoor,1.6077724249535552,1.3224356021192243,-0.40005349907105164,-0.611801876600352,93,2,-1.0098848618290235,1.651148582294305,-0.9087142749012465,Summer,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
